yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2019,2019,Export,Turkey,World,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",26900877952,38.9597594,34.9249653,-36.8535712,174.7456809
2019,2019,Export,Turkey,Afghanistan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3161317,38.9597594,34.9249653,33.7680065,66.2385139
2019,2019,Export,Turkey,Albania,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11870525,38.9597594,34.9249653,41.000028,19.9999619
2019,2019,Export,Turkey,Algeria,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",140265446,38.9597594,34.9249653,28.0000272,2.9999825
2019,2019,Export,Turkey,Angola,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2395785,38.9597594,34.9249653,-11.8775768,17.5691241
2019,2019,Export,Turkey,Antigua and Barbuda,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",168184,38.9597594,34.9249653,17.2234721,-61.9554608
2019,2019,Export,Turkey,Azerbaijan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",118308259,38.9597594,34.9249653,40.3936294,47.7872508
2019,2019,Export,Turkey,Argentina,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",21193718,38.9597594,34.9249653,-34.9964963,-64.9672817
2019,2019,Export,Turkey,Australia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",78724974,38.9597594,34.9249653,-24.7761086,134.755
2019,2019,Export,Turkey,Austria,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",232997355,38.9597594,34.9249653,47.59397,14.12456
2019,2019,Export,Turkey,Bahamas,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",631965,38.9597594,34.9249653,24.7736546,-78.0000547
2019,2019,Export,Turkey,Bahrain,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",18116255,38.9597594,34.9249653,26.1551249,50.5344606
2019,2019,Export,Turkey,Bangladesh,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7120089,38.9597594,34.9249653,24.4769288,90.2934413
2019,2019,Export,Turkey,Barbados,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",123728,38.9597594,34.9249653,13.1500331,-59.5250305
2019,2019,Export,Turkey,Belgium,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1008909348,38.9597594,34.9249653,50.6402809,4.6667145
2019,2019,Export,Turkey,Bermuda,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",82265,38.9597594,34.9249653,,
