yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Australia and New Zealand,Oceania,41573541,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Central Asia,Asia,19260483,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Eastern Asia,Asia,144774099,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Eastern Europe,Europe,218534288,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Egypt,Egypt,12352581,38.9597594,34.9249653,,
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Latin America and the Caribbean,Americas,21090734,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Melanesia,Oceania,96572,38.9597594,34.9249653,1.0108650891006263,147.3257485906919
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Micronesia,Oceania,124423,38.9597594,34.9249653,6.418559504495792,157.6364476938912
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Northern America,Americas,376891756,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Northern Europe,Europe,187565529,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Polynesia,Oceania,14720,38.9597594,34.9249653,-5.109184731250752,167.40343615892436
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",South-eastern Asia,Asia,14488161,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Southern Asia,Asia,5533810,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Southern Europe,Europe,234543022,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Sub-Saharan Africa,Africa,18933353,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Sudan,Sudan,633052,38.9597594,34.9249653,,
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Tunisia,Tunisia,1430608,38.9597594,34.9249653,,
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Western Asia,Asia,14320008,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Western Europe,Europe,998680867,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2021,2021,Export,Turkey,20,"Preparations of vegetables, fruit, nuts or other parts of plants",World,World,2695916944,38.9597594,34.9249653,,
