yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,136654671,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,3610,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,1076555,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,9158678,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,4949645,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,5662777,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,6304830,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,42173145,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,20549737,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,941502,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,4136935,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,82304,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,142,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,4749067,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,150477580,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,World,World,526772385,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Armenia, Armenia,1349,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,12795,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Cyprus, Cyprus,3278365,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Djibouti, Djibouti,52781,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,511238,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,2439012,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,212476,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Malta, Malta,27060,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,4958108,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,14126,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,662799,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,23304,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,102757286,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,State of Palestine, State of Palestine,35807,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,1205187,24.0002488,53.9994829,,
