yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,United Arab Emirates,39,Plastics and articles thereof,Australia and New Zealand,Oceania,10618290,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2008,2008,Import,United Arab Emirates,39,Plastics and articles thereof,Central Asia,Asia,123638,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2008,2008,Import,United Arab Emirates,39,Plastics and articles thereof,Eastern Asia,Asia,643145697,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2008,2008,Import,United Arab Emirates,39,Plastics and articles thereof,Eastern Europe,Europe,15210868,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2008,2008,Import,United Arab Emirates,39,Plastics and articles thereof,Latin America and the Caribbean,Americas,9211511,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2008,2008,Import,United Arab Emirates,39,Plastics and articles thereof,Melanesia,Oceania,2381,24.0002488,53.9994829,1.0108650891006263,147.3257485906919
2008,2008,Import,United Arab Emirates,39,Plastics and articles thereof,Northern Africa,Africa,8141438,24.0002488,53.9994829,19.569604022535763,12.47761721199581
2008,2008,Import,United Arab Emirates,39,Plastics and articles thereof,Northern America,Americas,184605701,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2008,2008,Import,United Arab Emirates,39,Plastics and articles thereof,Northern Europe,Europe,131411048,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2008,2008,Import,United Arab Emirates,39,Plastics and articles thereof,South-eastern Asia,Asia,221385422,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2008,2008,Import,United Arab Emirates,39,Plastics and articles thereof,Southern Asia,Asia,16249575,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2008,2008,Import,United Arab Emirates,39,Plastics and articles thereof,Southern Europe,Europe,166989283,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2008,2008,Import,United Arab Emirates,39,Plastics and articles thereof,Sub-Saharan Africa,Africa,5498469,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2008,2008,Import,United Arab Emirates,39,Plastics and articles thereof,Western Asia,Asia,44389248,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2008,2008,Import,United Arab Emirates,39,Plastics and articles thereof,Western Europe,Europe,425285700,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2008,2008,Import,United Arab Emirates,39,Plastics and articles thereof,World,World,3392711906,24.0002488,53.9994829,,
