yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Australia and New Zealand,Oceania,3668168,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Central Asia,Asia,219510,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Eastern Asia,Asia,45754745,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Eastern Europe,Europe,3585189,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Egypt,Egypt,1282689,24.0002488,53.9994829,,
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Latin America and the Caribbean,Americas,1870221,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Melanesia,Oceania,559,24.0002488,53.9994829,1.0108650891006263,147.3257485906919
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Northern America,Americas,3279936,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Northern Europe,Europe,3943736,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Polynesia,Oceania,8876,24.0002488,53.9994829,-5.109184731250752,167.40343615892436
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",South-eastern Asia,Asia,72574664,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Southern Asia,Asia,52926583,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Southern Europe,Europe,1757035,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Sub-Saharan Africa,Africa,66599781,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Sudan,Sudan,1376765,24.0002488,53.9994829,,
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Tunisia,Tunisia,18171,24.0002488,53.9994829,,
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Western Asia,Asia,2435344,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Western Europe,Europe,30805049,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",World,World,561200752,24.0002488,53.9994829,,
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Afghanistan, Afghanistan,2010096,24.0002488,53.9994829,,
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Armenia, Armenia,119,24.0002488,53.9994829,,
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Azerbaijan, Azerbaijan,169357,24.0002488,53.9994829,,
2021,2021,Re-Export,United Arab Emirates,22,"Beverages, spirits and vinegar",Bahrain, Bahrain,6608438,24.0002488,53.9994829,,
