yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Comoros,World,30,Pharmaceutical products,1963425,,,-36.8535712,174.7456809
2018,2018,Import,Comoros,World,30,Pharmaceutical products,3384449,,,-36.8535712,174.7456809
2019,2019,Import,Comoros,World,30,Pharmaceutical products,2753070,,,-36.8535712,174.7456809
2020,2020,Import,Comoros,World,30,Pharmaceutical products,4528237,,,-36.8535712,174.7456809
2016,2016,Import,Kuwait,World,30,Pharmaceutical products,1138553162,,,-36.8535712,174.7456809
2018,2018,Import,Kuwait,World,30,Pharmaceutical products,1326662066,,,-36.8535712,174.7456809
2019,2019,Import,Kuwait,World,30,Pharmaceutical products,1390645844,,,-36.8535712,174.7456809
2020,2020,Import,Kuwait,World,30,Pharmaceutical products,1591148446,,,-36.8535712,174.7456809
2016,2016,Import,Oman,World,30,Pharmaceutical products,378443981,,,-36.8535712,174.7456809
2017,2017,Import,Oman,World,30,Pharmaceutical products,459143342,,,-36.8535712,174.7456809
2018,2018,Import,Oman,World,30,Pharmaceutical products,469007918,,,-36.8535712,174.7456809
2019,2019,Import,Oman,World,30,Pharmaceutical products,503514147,,,-36.8535712,174.7456809
2020,2020,Import,Oman,World,30,Pharmaceutical products,554627281,,,-36.8535712,174.7456809
2021,2021,Import,Oman,World,30,Pharmaceutical products,565008904,,,-36.8535712,174.7456809
2016,2016,Import,Qatar,World,30,Pharmaceutical products,536315204,25.3336984,51.2295295,-36.8535712,174.7456809
2017,2017,Import,Qatar,World,30,Pharmaceutical products,575664898,25.3336984,51.2295295,-36.8535712,174.7456809
2018,2018,Import,Qatar,World,30,Pharmaceutical products,664750477,25.3336984,51.2295295,-36.8535712,174.7456809
2019,2019,Import,Qatar,World,30,Pharmaceutical products,638882355,25.3336984,51.2295295,-36.8535712,174.7456809
2020,2020,Import,Qatar,World,30,Pharmaceutical products,727660475,25.3336984,51.2295295,-36.8535712,174.7456809
2021,2021,Import,Qatar,World,30,Pharmaceutical products,859369694,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Import,Saudi Arabia,World,30,Pharmaceutical products,5152327240,,,-36.8535712,174.7456809
2018,2018,Import,Saudi Arabia,World,30,Pharmaceutical products,5533613015,,,-36.8535712,174.7456809
2019,2019,Import,Saudi Arabia,World,30,Pharmaceutical products,5308533563,,,-36.8535712,174.7456809
2020,2020,Import,Saudi Arabia,World,30,Pharmaceutical products,5614562909,,,-36.8535712,174.7456809
2016,2016,Import,Turkey,World,30,Pharmaceutical products,4259456018,38.9597594,34.9249653,-36.8535712,174.7456809
2017,2017,Import,Turkey,World,30,Pharmaceutical products,4520075758,38.9597594,34.9249653,-36.8535712,174.7456809
2018,2018,Import,Turkey,World,30,Pharmaceutical products,4480314975,38.9597594,34.9249653,-36.8535712,174.7456809
2019,2019,Import,Turkey,World,30,Pharmaceutical products,4911312180,38.9597594,34.9249653,-36.8535712,174.7456809
2021,2021,Import,Turkey,World,30,Pharmaceutical products,6874838638,38.9597594,34.9249653,-36.8535712,174.7456809
2019,2019,Import,Yemen,World,30,Pharmaceutical products,127845276,,,-36.8535712,174.7456809
