yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Re-Export,Kuwait,World,92,Musical instruments; parts and accessories of such articles,48243,,,-36.8535712,174.7456809
2019,2019,Re-Export,Kuwait,World,92,Musical instruments; parts and accessories of such articles,1051937,,,-36.8535712,174.7456809
2020,2020,Re-Export,Kuwait,World,92,Musical instruments; parts and accessories of such articles,92811,,,-36.8535712,174.7456809
2016,2016,Re-Export,Oman,World,92,Musical instruments; parts and accessories of such articles,127,,,-36.8535712,174.7456809
2018,2018,Re-Export,Oman,World,92,Musical instruments; parts and accessories of such articles,1617258,,,-36.8535712,174.7456809
2019,2019,Re-Export,Oman,World,92,Musical instruments; parts and accessories of such articles,1513326,,,-36.8535712,174.7456809
2020,2020,Re-Export,Oman,World,92,Musical instruments; parts and accessories of such articles,1153890,,,-36.8535712,174.7456809
2021,2021,Re-Export,Oman,World,92,Musical instruments; parts and accessories of such articles,608059,,,-36.8535712,174.7456809
2016,2016,Re-Export,Qatar,World,92,Musical instruments; parts and accessories of such articles,467362,25.3336984,51.2295295,-36.8535712,174.7456809
2017,2017,Re-Export,Qatar,World,92,Musical instruments; parts and accessories of such articles,348824,25.3336984,51.2295295,-36.8535712,174.7456809
2018,2018,Re-Export,Saudi Arabia,World,92,Musical instruments; parts and accessories of such articles,135550,,,-36.8535712,174.7456809
2020,2020,Re-Export,Saudi Arabia,World,92,Musical instruments; parts and accessories of such articles,168284,,,-36.8535712,174.7456809
