yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2001,2001,Re-Import,Algeria,70,Glass and glassware,World,World,11,28.0000272,2.9999825,,
2000,2000,Re-Import,Cyprus,70,Glass and glassware,World,World,36845,34.9823018,33.1451285,,
2001,2001,Re-Import,Cyprus,70,Glass and glassware,World,World,35164,34.9823018,33.1451285,,
2002,2002,Re-Import,Cyprus,70,Glass and glassware,World,World,24950,34.9823018,33.1451285,,
2003,2003,Re-Import,Cyprus,70,Glass and glassware,World,World,4102,34.9823018,33.1451285,,
2012,2012,Re-Import,Georgia,70,Glass and glassware,World,World,1583,32.3293809,-83.1137366,,
2013,2013,Re-Import,Georgia,70,Glass and glassware,World,World,885,32.3293809,-83.1137366,,
2014,2014,Re-Import,Georgia,70,Glass and glassware,World,World,8617,32.3293809,-83.1137366,,
2016,2016,Re-Import,Georgia,70,Glass and glassware,World,World,5963,32.3293809,-83.1137366,,
2017,2017,Re-Import,Georgia,70,Glass and glassware,World,World,4140,32.3293809,-83.1137366,,
2018,2018,Re-Import,Georgia,70,Glass and glassware,World,World,3717,32.3293809,-83.1137366,,
2019,2019,Re-Import,Georgia,70,Glass and glassware,World,World,11313,32.3293809,-83.1137366,,
2020,2020,Re-Import,Georgia,70,Glass and glassware,World,World,8522,32.3293809,-83.1137366,,
2021,2021,Re-Import,Georgia,70,Glass and glassware,World,World,12654,32.3293809,-83.1137366,,
2021,2021,Re-Import,Azerbaijan,70,Glass and glassware,World,World,22729,40.3936294,47.7872508,,
2015,2015,Re-Import,Lebanon,70,Glass and glassware,World,World,7439,33.87,35.84,,
2017,2017,Re-Import,Lebanon,70,Glass and glassware,World,World,1317,33.87,35.84,,
2018,2018,Re-Import,Lebanon,70,Glass and glassware,World,World,390,33.87,35.84,,
2021,2021,Re-Import,Lebanon,70,Glass and glassware,World,World,30078,33.87,35.84,,
2012,2012,Re-Import,Bahrain,70,Glass and glassware,World,World,9335,26.1551249,50.5344606,,
2015,2015,Re-Import,Bahrain,70,Glass and glassware,World,World,4150,26.1551249,50.5344606,,
2016,2016,Re-Import,Bahrain,70,Glass and glassware,World,World,35360,26.1551249,50.5344606,,
2017,2017,Re-Import,Bahrain,70,Glass and glassware,World,World,41496,26.1551249,50.5344606,,
2018,2018,Re-Import,Bahrain,70,Glass and glassware,World,World,104121,26.1551249,50.5344606,,
2009,2009,Re-Import,Armenia,70,Glass and glassware,World,World,45632,40.7696272,44.6736646,,
2012,2012,Re-Import,Armenia,70,Glass and glassware,World,World,49828,40.7696272,44.6736646,,
2013,2013,Re-Import,Armenia,70,Glass and glassware,World,World,4125,40.7696272,44.6736646,,
2014,2014,Re-Import,Armenia,70,Glass and glassware,World,World,13567,40.7696272,44.6736646,,
2018,2018,Re-Import,Armenia,70,Glass and glassware,World,World,3098,40.7696272,44.6736646,,
2019,2019,Re-Import,Armenia,70,Glass and glassware,World,World,8056,40.7696272,44.6736646,,
2020,2020,Re-Import,Armenia,70,Glass and glassware,World,World,9365,40.7696272,44.6736646,,
2021,2021,Re-Import,Armenia,70,Glass and glassware,World,World,32,40.7696272,44.6736646,,
2005,2005,Re-Import,Pakistan,70,Glass and glassware,World,World,22168,30.3308401,71.247499,,
2014,2014,Re-Import,Pakistan,70,Glass and glassware,World,World,326006,30.3308401,71.247499,,
2015,2015,Re-Import,Pakistan,70,Glass and glassware,World,World,640836,30.3308401,71.247499,,
2016,2016,Re-Import,Pakistan,70,Glass and glassware,World,World,1035885,30.3308401,71.247499,,
2017,2017,Re-Import,Pakistan,70,Glass and glassware,World,World,760918,30.3308401,71.247499,,
2018,2018,Re-Import,Pakistan,70,Glass and glassware,World,World,768463,30.3308401,71.247499,,
2019,2019,Re-Import,Pakistan,70,Glass and glassware,World,World,341277,30.3308401,71.247499,,
2020,2020,Re-Import,Pakistan,70,Glass and glassware,World,World,80809,30.3308401,71.247499,,
2021,2021,Re-Import,Pakistan,70,Glass and glassware,World,World,253242,30.3308401,71.247499,,
2012,2012,Re-Import,Yemen,70,Glass and glassware,World,World,4052,16.3471243,47.8915271,,
