rtTitle,Subregion,rgDesc,TradeValue
Malta,Afghanistan,Export,291
Malta,Afghanistan,Import,2428
Malta,Algeria,Export,2184172
Malta,Algeria,Import,4604163
Malta,Armenia,Export,399
Malta,Armenia,Import,19911
Malta,Azerbaijan,Export,159281
Malta,Azerbaijan,Import,56341
Malta,Bahrain,Export,1297159
Malta,Bahrain,Import,115879
Malta,Cyprus,Export,11074536
Malta,Cyprus,Import,9416043
Malta,Djibouti,Export,8417936
Malta,Georgia,Export,260252
Malta,Georgia,Import,1931
Malta,Iraq,Export,1831882
Malta,Iraq,Import,2372
Malta,Israel,Export,6149186
Malta,Israel,Import,9761421
Malta,Jordan,Export,3650209
Malta,Jordan,Import,389430
Malta,Kuwait,Export,805450
Malta,Kuwait,Import,6408624
Malta,Lebanon,Export,970090
Malta,Lebanon,Import,434350
Malta,Libya,Export,68291472
Malta,Libya,Import,9033834
Malta,Mauritania,Export,270919
Malta,Morocco,Export,2669769
Malta,Morocco,Import,12609291
Malta,Oman,Export,7565502
Malta,Oman,Import,852758
Malta,Pakistan,Export,1757979
Malta,Pakistan,Import,3738779
Malta,Qatar,Export,5479783
Malta,Qatar,Import,1370305
Malta,Saudi Arabia,Export,20129568
Malta,Saudi Arabia,Import,804828
Malta,State of Palestine,Export,247669
Malta,State of Palestine,Import,421689
Malta,United Arab Emirates,Export,25572491
Malta,United Arab Emirates,Import,13136119
Malta,Yemen,Export,724982
