,rtTitle,ptTitle,rgDesc,TradeValue
0,United Arab Emirates,Afghanistan,Export,2168336076.0
1,United Arab Emirates,Afghanistan,Import,19477793.0
2,United Arab Emirates,Afghanistan,Re-Export,1935740963.0
3,United Arab Emirates,Algeria,Export,440088602.0
4,United Arab Emirates,Algeria,Import,6517548.0
5,United Arab Emirates,Algeria,Re-Export,204175900.0
6,United Arab Emirates,Armenia,Export,67878294.0
7,United Arab Emirates,Armenia,Import,2669355.0
8,United Arab Emirates,Armenia,Re-Export,62646216.0
9,United Arab Emirates,Azerbaijan,Export,412614818.0
10,United Arab Emirates,Azerbaijan,Import,4250489.0
11,United Arab Emirates,Azerbaijan,Re-Export,362781201.0
12,United Arab Emirates,Bahrain,Export,2210953250.0
13,United Arab Emirates,Bahrain,Import,716668158.0
14,United Arab Emirates,Bahrain,Re-Export,992888547.0
15,United Arab Emirates,Comoros,Export,41680965.0
16,United Arab Emirates,Comoros,Import,12399002.0
17,United Arab Emirates,Comoros,Re-Export,29999494.0
18,United Arab Emirates,Cyprus,Export,21381185.0
19,United Arab Emirates,Cyprus,Import,28479014.0
20,United Arab Emirates,Cyprus,Re-Export,12115090.0
21,United Arab Emirates,Djibouti,Export,318132803.0
22,United Arab Emirates,Djibouti,Import,26054864.0
23,United Arab Emirates,Djibouti,Re-Export,169851316.0
24,United Arab Emirates,Georgia,Export,107413206.0
25,United Arab Emirates,Georgia,Import,5238704.0
26,United Arab Emirates,Georgia,Re-Export,97069460.0
27,United Arab Emirates,Iraq,Export,6769878340.0
28,United Arab Emirates,Iraq,Import,850916083.0
29,United Arab Emirates,Iraq,Re-Export,4306798294.0
30,United Arab Emirates,Jordan,Export,786766825.0
31,United Arab Emirates,Jordan,Import,295489461.0
32,United Arab Emirates,Jordan,Re-Export,248298073.0
33,United Arab Emirates,Kuwait,Export,3130807218.0
34,United Arab Emirates,Kuwait,Import,748127019.0
35,United Arab Emirates,Kuwait,Re-Export,1371715471.0
36,United Arab Emirates,Lebanon,Export,854982825.0
37,United Arab Emirates,Lebanon,Import,393519535.0
38,United Arab Emirates,Lebanon,Re-Export,406685071.0
39,United Arab Emirates,Libya,Export,1341017120.0
40,United Arab Emirates,Libya,Import,1361393761.0
41,United Arab Emirates,Libya,Re-Export,1165729541.0
42,United Arab Emirates,Malta,Export,31919237.0
43,United Arab Emirates,Malta,Import,20904992.0
44,United Arab Emirates,Malta,Re-Export,23487688.0
45,United Arab Emirates,Mauritania,Export,47699912.0
46,United Arab Emirates,Mauritania,Import,909738.0
47,United Arab Emirates,Mauritania,Re-Export,37832415.0
48,United Arab Emirates,Morocco,Export,251427963.0
49,United Arab Emirates,Morocco,Import,133091730.0
50,United Arab Emirates,Morocco,Re-Export,38136198.0
51,United Arab Emirates,Oman,Export,5479456991.0
52,United Arab Emirates,Oman,Import,1610536544.0
53,United Arab Emirates,Oman,Re-Export,2525130946.0
54,United Arab Emirates,Pakistan,Export,1059435304.0
55,United Arab Emirates,Pakistan,Import,562670013.0
56,United Arab Emirates,Pakistan,Re-Export,280111767.0
57,United Arab Emirates,Qatar,Export,3131627406.0
58,United Arab Emirates,Qatar,Import,768675067.0
59,United Arab Emirates,Qatar,Re-Export,1612724851.0
60,United Arab Emirates,Saudi Arabia,Export,6581509665.0
61,United Arab Emirates,Saudi Arabia,Import,3900271986.0
62,United Arab Emirates,Saudi Arabia,Re-Export,2417031541.0
63,United Arab Emirates,State of Palestine,Export,4970061.0
64,United Arab Emirates,State of Palestine,Import,13395713.0
65,United Arab Emirates,State of Palestine,Re-Export,478569.0
66,United Arab Emirates,Syria,Export,224786852.0
67,United Arab Emirates,Syria,Import,41829654.0
68,United Arab Emirates,Syria,Re-Export,79397800.0
69,United Arab Emirates,Turkey,Export,2716546754.0
70,United Arab Emirates,Turkey,Import,3406653895.0
71,United Arab Emirates,Turkey,Re-Export,449451666.0
72,United Arab Emirates,World,Export,165304606491.0
73,United Arab Emirates,World,Import,182129203573.0
74,United Arab Emirates,World,Re-Export,60055090238.0
75,United Arab Emirates,Yemen,Export,314131935.0
76,United Arab Emirates,Yemen,Import,14743887.0
77,United Arab Emirates,Yemen,Re-Export,119353019.0
