yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion_export,Region_export,TradeValue_export,rtLat,rtLon,ptLon,ptLat,mid,Subregion_import,Region_import,TradeValue_import
2011.0,2011.0,Export,Turkey,2.0,Meat and edible meat offal,World,World,390254778.0,38.9597594,34.9249653,,,22011Turkey,World,World,513600334.0
2011.0,2011.0,Export,Turkey,4.0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",World,World,484057362.0,38.9597594,34.9249653,,,42011Turkey,World,World,105212176.0
2011.0,2011.0,Export,Turkey,5.0,"Products of animal origin, not elsewhere specified or included",World,World,45899404.0,38.9597594,34.9249653,,,52011Turkey,World,World,56550997.0
2011.0,2011.0,Export,Turkey,7.0,Edible vegetables and certain roots and tubers,World,World,1070414033.0,38.9597594,34.9249653,,,72011Turkey,World,World,368260138.0
2011.0,2011.0,Export,Turkey,8.0,Edible fruit and nuts; peel of citrus fruit or melons,World,World,3908880186.0,38.9597594,34.9249653,,,82011Turkey,World,World,393504242.0
2011.0,2011.0,Export,Turkey,9.0,"Coffee, tea, maté and spices",World,World,110494599.0,38.9597594,34.9249653,,,92011Turkey,World,World,118020446.0
2011.0,2011.0,Export,Turkey,10.0,Cereals,World,World,110113452.0,38.9597594,34.9249653,,,102011Turkey,World,World,1931748039.0
2011.0,2011.0,Export,Turkey,11.0,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,1098379709.0,38.9597594,34.9249653,,,112011Turkey,World,World,67454457.0
2011.0,2011.0,Export,Turkey,12.0,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",World,World,229737154.0,38.9597594,34.9249653,,,122011Turkey,World,World,1697104676.0
2011.0,2011.0,Export,Turkey,13.0,"Lac; gums, resins and other vegetable saps and extracts",World,World,6635835.0,38.9597594,34.9249653,,,132011Turkey,World,World,36700059.0
2011.0,2011.0,Export,Turkey,14.0,Vegetable plaiting materials; vegetable products not elsewhere specified or included,World,World,32852032.0,38.9597594,34.9249653,,,142011Turkey,World,World,8392943.0
2011.0,2011.0,Export,Turkey,15.0,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,World,World,1026172879.0,38.9597594,34.9249653,,,152011Turkey,World,World,1602447199.0
2011.0,2011.0,Export,Turkey,16.0,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",World,World,65445907.0,38.9597594,34.9249653,,,162011Turkey,World,World,2888717.0
2011.0,2011.0,Export,Turkey,17.0,Sugars and sugar confectionery,World,World,474168442.0,38.9597594,34.9249653,,,172011Turkey,World,World,63464336.0
2011.0,2011.0,Export,Turkey,18.0,Cocoa and cocoa preparations,World,World,509920207.0,38.9597594,34.9249653,,,182011Turkey,World,World,489528398.0
2011.0,2011.0,Export,Turkey,19.0,"Preparations of cereals, flour, starch or milk; pastrycooks' products",World,World,1037189870.0,38.9597594,34.9249653,,,192011Turkey,World,World,198335113.0
2011.0,2011.0,Export,Turkey,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",World,World,1653519723.0,38.9597594,34.9249653,,,202011Turkey,World,World,90360535.0
2011.0,2011.0,Export,Turkey,21.0,Miscellaneous edible preparations,World,World,715532577.0,38.9597594,34.9249653,,,212011Turkey,World,World,478560190.0
2011.0,2011.0,Export,Turkey,22.0,"Beverages, spirits and vinegar",World,World,258721349.0,38.9597594,34.9249653,,,222011Turkey,World,World,212983875.0
2011.0,2011.0,Export,Turkey,23.0,Residues and waste from the food industries; prepared animal fodder,World,World,50979707.0,38.9597594,34.9249653,,,232011Turkey,World,World,856288043.0
2011.0,2011.0,Export,Turkey,24.0,Tobacco and manufactured tobacco substitutes,World,World,670625355.0,38.9597594,34.9249653,,,242011Turkey,World,World,400500310.0
2011.0,2011.0,Export,Turkey,25.0,"Salt; sulphur; earths and stone; plastering materials, lime and cement",World,World,2465458898.0,38.9597594,34.9249653,,,252011Turkey,World,World,442078873.0
2011.0,2011.0,Export,Turkey,26.0,"Ores, slag and ash",World,World,1254681995.0,38.9597594,34.9249653,,,262011Turkey,World,World,1265613834.0
2011.0,2011.0,Export,Turkey,27.0,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",World,World,6539030329.0,38.9597594,34.9249653,,,272011Turkey,World,World,54117538859.0
2011.0,2011.0,Export,Turkey,28.0,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",World,World,1216056550.0,38.9597594,34.9249653,,,282011Turkey,World,World,1721687297.0
2011.0,2011.0,Export,Turkey,29.0,Organic chemicals,World,World,545360824.0,38.9597594,34.9249653,,,292011Turkey,World,World,5504434997.0
2011.0,2011.0,Export,Turkey,30.0,Pharmaceutical products,World,World,566797098.0,38.9597594,34.9249653,,,302011Turkey,World,World,4697444788.0
2011.0,2011.0,Export,Turkey,31.0,Fertilisers,World,World,200598345.0,38.9597594,34.9249653,,,312011Turkey,World,World,1374433876.0
