yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion_export,Region_export,TradeValue_export,rtLat,rtLon,ptLon,ptLat,mid,Subregion_import,Region_import,TradeValue_import
2017.0,2017.0,Export,Azerbaijan,1.0,Animals; live,World,World,1650355.0,40.3936294,47.7872508,,,12017Azerbaijan,World,World,49364107.0
2017.0,2017.0,Export,Azerbaijan,2.0,Meat and edible meat offal,World,World,1715920.0,40.3936294,47.7872508,,,22017Azerbaijan,World,World,63597063.0
2017.0,2017.0,Export,Azerbaijan,4.0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",World,World,8191076.0,40.3936294,47.7872508,,,42017Azerbaijan,World,World,124944733.0
2017.0,2017.0,Export,Azerbaijan,5.0,Animal originated products; not elsewhere specified or included,World,World,653859.0,40.3936294,47.7872508,,,52017Azerbaijan,World,World,442281.0
2017.0,2017.0,Export,Azerbaijan,6.0,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",World,World,388275.0,40.3936294,47.7872508,,,62017Azerbaijan,World,World,21946373.0
2017.0,2017.0,Export,Azerbaijan,8.0,"Fruit and nuts, edible; peel of citrus fruit or melons",World,World,292653866.0,40.3936294,47.7872508,,,82017Azerbaijan,World,World,75251547.0
2017.0,2017.0,Export,Azerbaijan,9.0,"Coffee, tea, mate and spices",World,World,10291009.0,40.3936294,47.7872508,,,92017Azerbaijan,World,World,59861438.0
2017.0,2017.0,Export,Azerbaijan,10.0,Cereals,World,World,11941.0,40.3936294,47.7872508,,,102017Azerbaijan,World,World,291524261.0
2017.0,2017.0,Export,Azerbaijan,11.0,"Products of the milling industry; malt, starches, inulin, wheat gluten",World,World,59901.0,40.3936294,47.7872508,,,112017Azerbaijan,World,World,17822102.0
2017.0,2017.0,Export,Azerbaijan,13.0,"Lac; gums, resins and other vegetable saps and extracts",World,World,1146500.0,40.3936294,47.7872508,,,132017Azerbaijan,World,World,514312.0
2017.0,2017.0,Export,Azerbaijan,14.0,Vegetable plaiting materials; vegetable products not elsewhere specified or included,World,World,145647.0,40.3936294,47.7872508,,,142017Azerbaijan,World,World,1139451.0
2017.0,2017.0,Export,Azerbaijan,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,World,World,17046853.0,40.3936294,47.7872508,,,152017Azerbaijan,World,World,148319808.0
2017.0,2017.0,Export,Azerbaijan,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",World,World,393165.0,40.3936294,47.7872508,,,162017Azerbaijan,World,World,25696827.0
2017.0,2017.0,Export,Azerbaijan,17.0,Sugars and sugar confectionery,World,World,40244147.0,40.3936294,47.7872508,,,172017Azerbaijan,World,World,202770166.0
2017.0,2017.0,Export,Azerbaijan,18.0,Cocoa and cocoa preparations,World,World,6017113.0,40.3936294,47.7872508,,,182017Azerbaijan,World,World,55463694.0
2017.0,2017.0,Export,Azerbaijan,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",World,World,15471432.0,40.3936294,47.7872508,,,202017Azerbaijan,World,World,29031827.0
2017.0,2017.0,Export,Azerbaijan,21.0,Miscellaneous edible preparations,World,World,3339996.0,40.3936294,47.7872508,,,212017Azerbaijan,World,World,67185265.0
2017.0,2017.0,Export,Azerbaijan,23.0,"Food industries, residues and wastes thereof; prepared animal fodder",World,World,6405934.0,40.3936294,47.7872508,,,232017Azerbaijan,World,World,45152684.0
2017.0,2017.0,Export,Azerbaijan,24.0,Tobacco and manufactured tobacco substitutes,World,World,15304013.0,40.3936294,47.7872508,,,242017Azerbaijan,World,World,166527873.0
2017.0,2017.0,Export,Azerbaijan,25.0,"Salt; sulphur; earths, stone; plastering materials, lime and cement",World,World,25247401.0,40.3936294,47.7872508,,,252017Azerbaijan,World,World,35419057.0
2017.0,2017.0,Export,Azerbaijan,29.0,Organic chemicals,World,World,67262213.0,40.3936294,47.7872508,,,292017Azerbaijan,World,World,52431360.0
2017.0,2017.0,Export,Azerbaijan,30.0,Pharmaceutical products,World,World,1047656.0,40.3936294,47.7872508,,,302017Azerbaijan,World,World,249015827.0
2017.0,2017.0,Export,Azerbaijan,31.0,Fertilizers,World,World,2189202.0,40.3936294,47.7872508,,,312017Azerbaijan,World,World,54808521.0
2017.0,2017.0,Export,Azerbaijan,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",World,World,381707.0,40.3936294,47.7872508,,,332017Azerbaijan,World,World,105064932.0
2017.0,2017.0,Export,Azerbaijan,37.0,Photographic or cinematographic goods,World,World,28.0,40.3936294,47.7872508,,,372017Azerbaijan,World,World,2982177.0
2017.0,2017.0,Export,Azerbaijan,38.0,Chemical products n.e.c.,World,World,2636756.0,40.3936294,47.7872508,,,382017Azerbaijan,World,World,112193953.0
2017.0,2017.0,Export,Azerbaijan,40.0,Rubber and articles thereof,World,World,1394137.0,40.3936294,47.7872508,,,402017Azerbaijan,World,World,109787605.0
2017.0,2017.0,Export,Azerbaijan,41.0,Raw hides and skins (other than furskins) and leather,World,World,14979064.0,40.3936294,47.7872508,,,412017Azerbaijan,World,World,499001.0
2017.0,2017.0,Export,Azerbaijan,42.0,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",World,World,164576.0,40.3936294,47.7872508,,,422017Azerbaijan,World,World,17822063.0
2017.0,2017.0,Export,Azerbaijan,43.0,Furskins and artificial fur; manufactures thereof,World,World,9702.0,40.3936294,47.7872508,,,432017Azerbaijan,World,World,946735.0
2017.0,2017.0,Export,Azerbaijan,45.0,Cork and articles of cork,World,World,204.0,40.3936294,47.7872508,,,452017Azerbaijan,World,World,664835.0
2017.0,2017.0,Export,Azerbaijan,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",World,World,35.0,40.3936294,47.7872508,,,462017Azerbaijan,World,World,254969.0
2017.0,2017.0,Export,Azerbaijan,49.0,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",World,World,1296220.0,40.3936294,47.7872508,,,492017Azerbaijan,World,World,25327712.0
2017.0,2017.0,Export,Azerbaijan,50.0,Silk,World,World,542963.0,40.3936294,47.7872508,,,502017Azerbaijan,World,World,704456.0
2017.0,2017.0,Export,Azerbaijan,51.0,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",World,World,173082.0,40.3936294,47.7872508,,,512017Azerbaijan,World,World,952993.0
