yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2012,2012.0,Export,Armenia,World,63.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags,204737.0,,40.7696272,44.6736646,-36.8535712,174.7456809
2012,2012.0,Export,Armenia,Argentina,63.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags,750.0,,40.7696272,44.6736646,-34.9964963,-64.9672817
2012,2012.0,Export,Armenia,Belgium,63.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags,3000.0,,40.7696272,44.6736646,50.6402809,4.6667145
2012,2012.0,Export,Armenia,Bulgaria,63.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags,400.0,,40.7696272,44.6736646,42.6073975,25.4856617
2012,2012.0,Export,Armenia,France,63.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags,79.0,,40.7696272,44.6736646,46.603354,1.8883335
2012,2012.0,Export,Armenia,Georgia,63.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags,14497.0,,40.7696272,44.6736646,32.3293809,-83.1137366
2012,2012.0,Export,Armenia,Germany,63.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags,1124.0,,40.7696272,44.6736646,51.1638175,10.4478313
2012,2012.0,Export,Armenia,Greece,63.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags,586.0,,40.7696272,44.6736646,38.9953683,21.9877132
2012,2012.0,Export,Armenia,Iran,63.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags,134490.0,,40.7696272,44.6736646,32.6475314,54.5643516
2012,2012.0,Export,Armenia,Italy,63.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags,192.0,,40.7696272,44.6736646,42.6384261,12.674297
2012,2012.0,Export,Armenia,Kenya,63.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags,300.0,,40.7696272,44.6736646,1.4419683,38.4313975
2012,2012.0,Export,Armenia,Lithuania,63.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags,1818.0,,40.7696272,44.6736646,55.3500003,23.7499997
2012,2012.0,Export,Armenia,United Arab Emirates,63.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags,2151.0,,40.7696272,44.6736646,24.0002488,53.9994829
2012,2012.0,Export,Armenia,Ukraine,63.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags,9.0,,40.7696272,44.6736646,49.4871968,31.2718321
2012,2012.0,Export,Armenia,USA,63.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags,15825.0,,40.7696272,44.6736646,39.7837304,-100.445882
2012,2012.0,Export,Armenia,"Areas, nes",63.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags,29516.0,,40.7696272,44.6736646,,
