yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2014,2014.0,Import,Bahrain,World,61.0,Apparel and clothing accessories; knitted or crocheted,136416673.0,,26.1551249,50.5344606,-36.8535712,174.7456809
2014,2014.0,Import,Bahrain,Albania,61.0,Apparel and clothing accessories; knitted or crocheted,59889.0,,26.1551249,50.5344606,41.000028,19.9999619
2014,2014.0,Import,Bahrain,American Samoa,61.0,Apparel and clothing accessories; knitted or crocheted,151.0,,26.1551249,50.5344606,-14.297124,-170.7131481
2014,2014.0,Import,Bahrain,Australia,61.0,Apparel and clothing accessories; knitted or crocheted,110506.0,,26.1551249,50.5344606,-24.7761086,134.755
2014,2014.0,Import,Bahrain,Austria,61.0,Apparel and clothing accessories; knitted or crocheted,275.0,,26.1551249,50.5344606,47.59397,14.12456
2014,2014.0,Import,Bahrain,Bahamas,61.0,Apparel and clothing accessories; knitted or crocheted,670.0,,26.1551249,50.5344606,24.7736546,-78.0000547
2014,2014.0,Import,Bahrain,Bangladesh,61.0,Apparel and clothing accessories; knitted or crocheted,10519176.0,,26.1551249,50.5344606,24.4769288,90.2934413
2014,2014.0,Import,Bahrain,Armenia,61.0,Apparel and clothing accessories; knitted or crocheted,490.0,,26.1551249,50.5344606,40.7696272,44.6736646
2014,2014.0,Import,Bahrain,Belgium,61.0,Apparel and clothing accessories; knitted or crocheted,43009.0,,26.1551249,50.5344606,50.6402809,4.6667145
2014,2014.0,Import,Bahrain,Bolivia (Plurinational State of),61.0,Apparel and clothing accessories; knitted or crocheted,6395.0,,26.1551249,50.5344606,-17.0568696,-64.9912286
2014,2014.0,Import,Bahrain,Bosnia Herzegovina,61.0,Apparel and clothing accessories; knitted or crocheted,156167.0,,26.1551249,50.5344606,44.3053476,17.5961467
2014,2014.0,Import,Bahrain,Brazil,61.0,Apparel and clothing accessories; knitted or crocheted,30151.0,,26.1551249,50.5344606,-10.3333333,-53.2
2014,2014.0,Import,Bahrain,Br. Virgin Isds,61.0,Apparel and clothing accessories; knitted or crocheted,925.0,,26.1551249,50.5344606,,
2014,2014.0,Import,Bahrain,Brunei Darussalam,61.0,Apparel and clothing accessories; knitted or crocheted,13526.0,,26.1551249,50.5344606,4.4137155,114.5653908
2014,2014.0,Import,Bahrain,Bulgaria,61.0,Apparel and clothing accessories; knitted or crocheted,617687.0,,26.1551249,50.5344606,42.6073975,25.4856617
2014,2014.0,Import,Bahrain,Myanmar,61.0,Apparel and clothing accessories; knitted or crocheted,12278.0,,26.1551249,50.5344606,17.1750495,95.9999652
2014,2014.0,Import,Bahrain,Burundi,61.0,Apparel and clothing accessories; knitted or crocheted,90.0,,26.1551249,50.5344606,-3.426449,29.9324519
2014,2014.0,Import,Bahrain,Belarus,61.0,Apparel and clothing accessories; knitted or crocheted,95764.0,,26.1551249,50.5344606,53.4250605,27.6971358
2014,2014.0,Import,Bahrain,Cambodia,61.0,Apparel and clothing accessories; knitted or crocheted,1758029.0,,26.1551249,50.5344606,12.5433216,104.8144914
2014,2014.0,Import,Bahrain,Cameroon,61.0,Apparel and clothing accessories; knitted or crocheted,10437.0,,26.1551249,50.5344606,4.6125522,13.1535811
2014,2014.0,Import,Bahrain,Canada,61.0,Apparel and clothing accessories; knitted or crocheted,41340.0,,26.1551249,50.5344606,61.0666922,-107.991707
2014,2014.0,Import,Bahrain,Central African Rep.,61.0,Apparel and clothing accessories; knitted or crocheted,2543.0,,26.1551249,50.5344606,,
2014,2014.0,Import,Bahrain,Sri Lanka,61.0,Apparel and clothing accessories; knitted or crocheted,1270003.0,,26.1551249,50.5344606,7.5554942,80.7137847
2014,2014.0,Import,Bahrain,Chad,61.0,Apparel and clothing accessories; knitted or crocheted,6983.0,,26.1551249,50.5344606,15.6134137,19.0156172
2014,2014.0,Import,Bahrain,Chile,61.0,Apparel and clothing accessories; knitted or crocheted,6991.0,,26.1551249,50.5344606,-31.7613365,-71.3187697
2014,2014.0,Import,Bahrain,China,61.0,Apparel and clothing accessories; knitted or crocheted,53790681.0,,26.1551249,50.5344606,35.000074,104.999927
2014,2014.0,Import,Bahrain,Colombia,61.0,Apparel and clothing accessories; knitted or crocheted,498257.0,,26.1551249,50.5344606,4.099917,-72.9088133
2014,2014.0,Import,Bahrain,Comoros,61.0,Apparel and clothing accessories; knitted or crocheted,405.0,,26.1551249,50.5344606,-12.2045176,44.2832964
2014,2014.0,Import,Bahrain,Congo,61.0,Apparel and clothing accessories; knitted or crocheted,1327.0,,26.1551249,50.5344606,-2.9814344,23.8222636
2014,2014.0,Import,Bahrain,Dem. Rep. of the Congo,61.0,Apparel and clothing accessories; knitted or crocheted,9568.0,,26.1551249,50.5344606,,
2014,2014.0,Import,Bahrain,Costa Rica,61.0,Apparel and clothing accessories; knitted or crocheted,20636.0,,26.1551249,50.5344606,10.2735633,-84.0739102
2014,2014.0,Import,Bahrain,Croatia,61.0,Apparel and clothing accessories; knitted or crocheted,68215.0,,26.1551249,50.5344606,45.5643442,17.0118954
2014,2014.0,Import,Bahrain,Cyprus,61.0,Apparel and clothing accessories; knitted or crocheted,11.0,,26.1551249,50.5344606,34.9823018,33.1451285
2014,2014.0,Import,Bahrain,Czechia,61.0,Apparel and clothing accessories; knitted or crocheted,27192.0,,26.1551249,50.5344606,49.7439047,15.3381061
2014,2014.0,Import,Bahrain,Denmark,61.0,Apparel and clothing accessories; knitted or crocheted,54736.0,,26.1551249,50.5344606,55.670249,10.3333283
2014,2014.0,Import,Bahrain,Dominica,61.0,Apparel and clothing accessories; knitted or crocheted,217.0,,26.1551249,50.5344606,19.0974031,-70.3028026
2014,2014.0,Import,Bahrain,Dominican Rep.,61.0,Apparel and clothing accessories; knitted or crocheted,3566.0,,26.1551249,50.5344606,,
2014,2014.0,Import,Bahrain,Ecuador,61.0,Apparel and clothing accessories; knitted or crocheted,1025.0,,26.1551249,50.5344606,-1.3397668,-79.3666965
2014,2014.0,Import,Bahrain,El Salvador,61.0,Apparel and clothing accessories; knitted or crocheted,5330.0,,26.1551249,50.5344606,13.8000382,-88.9140683
2014,2014.0,Import,Bahrain,Estonia,61.0,Apparel and clothing accessories; knitted or crocheted,140.0,,26.1551249,50.5344606,58.7523778,25.3319078
2014,2014.0,Import,Bahrain,South Georgia and the South Sandwich Islands,61.0,Apparel and clothing accessories; knitted or crocheted,1359.0,,26.1551249,50.5344606,-54.8432857,-35.8090698
2014,2014.0,Import,Bahrain,Finland,61.0,Apparel and clothing accessories; knitted or crocheted,2141460.0,,26.1551249,50.5344606,63.2467777,25.9209164
2014,2014.0,Import,Bahrain,France,61.0,Apparel and clothing accessories; knitted or crocheted,361772.0,,26.1551249,50.5344606,46.603354,1.8883335
2014,2014.0,Import,Bahrain,French Polynesia,61.0,Apparel and clothing accessories; knitted or crocheted,130.0,,26.1551249,50.5344606,-17.0243749,-144.6434898
2014,2014.0,Import,Bahrain,Gabon,61.0,Apparel and clothing accessories; knitted or crocheted,360.0,,26.1551249,50.5344606,-0.8999695,11.6899699
2014,2014.0,Import,Bahrain,Georgia,61.0,Apparel and clothing accessories; knitted or crocheted,160196.0,,26.1551249,50.5344606,32.3293809,-83.1137366
2014,2014.0,Import,Bahrain,Gambia,61.0,Apparel and clothing accessories; knitted or crocheted,381.0,,26.1551249,50.5344606,13.470062,-15.4900464
2014,2014.0,Import,Bahrain,Germany,61.0,Apparel and clothing accessories; knitted or crocheted,189385.0,,26.1551249,50.5344606,51.1638175,10.4478313
2014,2014.0,Import,Bahrain,Greece,61.0,Apparel and clothing accessories; knitted or crocheted,511597.0,,26.1551249,50.5344606,38.9953683,21.9877132
2014,2014.0,Import,Bahrain,Guam,61.0,Apparel and clothing accessories; knitted or crocheted,58.0,,26.1551249,50.5344606,13.4501257,144.75755102972062
2014,2014.0,Import,Bahrain,Guatemala,61.0,Apparel and clothing accessories; knitted or crocheted,87936.0,,26.1551249,50.5344606,15.5855545,-90.345759
2014,2014.0,Import,Bahrain,Haiti,61.0,Apparel and clothing accessories; knitted or crocheted,9242.0,,26.1551249,50.5344606,19.1399952,-72.3570972
2014,2014.0,Import,Bahrain,Heard Island and McDonald Islands,61.0,Apparel and clothing accessories; knitted or crocheted,19.0,,26.1551249,50.5344606,-53.0166353,72.955751
2014,2014.0,Import,Bahrain,Holy See (Vatican City State),61.0,Apparel and clothing accessories; knitted or crocheted,927.0,,26.1551249,50.5344606,,
2014,2014.0,Import,Bahrain,Honduras,61.0,Apparel and clothing accessories; knitted or crocheted,121189.0,,26.1551249,50.5344606,15.2572432,-86.0755145
2014,2014.0,Import,Bahrain,"China, Hong Kong SAR",61.0,Apparel and clothing accessories; knitted or crocheted,709486.0,,26.1551249,50.5344606,22.350627,114.1849161
2014,2014.0,Import,Bahrain,Hungary,61.0,Apparel and clothing accessories; knitted or crocheted,62935.0,,26.1551249,50.5344606,47.1817585,19.5060937
2014,2014.0,Import,Bahrain,Iceland,61.0,Apparel and clothing accessories; knitted or crocheted,1754.0,,26.1551249,50.5344606,64.9841821,-18.1059013
2014,2014.0,Import,Bahrain,Indonesia,61.0,Apparel and clothing accessories; knitted or crocheted,2492675.0,,26.1551249,50.5344606,-2.4833826,117.8902853
2014,2014.0,Import,Bahrain,Iran,61.0,Apparel and clothing accessories; knitted or crocheted,967.0,,26.1551249,50.5344606,32.6475314,54.5643516
2014,2014.0,Import,Bahrain,Ireland,61.0,Apparel and clothing accessories; knitted or crocheted,3354.0,,26.1551249,50.5344606,52.865196,-7.9794599
