yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2005,2005.0,Re-Export,Cyprus,World,55.0,Man-made staple fibers,5468570.0,,34.9823018,33.1451285,-36.8535712,174.7456809
2005,2005.0,Re-Export,Cyprus,Armenia,55.0,Man-made staple fibers,2092.0,,34.9823018,33.1451285,40.7696272,44.6736646
2005,2005.0,Re-Export,Cyprus,Belgium,55.0,Man-made staple fibers,6419.0,,34.9823018,33.1451285,50.6402809,4.6667145
2005,2005.0,Re-Export,Cyprus,Bulgaria,55.0,Man-made staple fibers,70084.0,,34.9823018,33.1451285,42.6073975,25.4856617
2005,2005.0,Re-Export,Cyprus,China,55.0,Man-made staple fibers,7972.0,,34.9823018,33.1451285,35.000074,104.999927
2005,2005.0,Re-Export,Cyprus,France,55.0,Man-made staple fibers,877.0,,34.9823018,33.1451285,46.603354,1.8883335
2005,2005.0,Re-Export,Cyprus,Greece,55.0,Man-made staple fibers,70078.0,,34.9823018,33.1451285,38.9953683,21.9877132
2005,2005.0,Re-Export,Cyprus,"China, Hong Kong SAR",55.0,Man-made staple fibers,4247.0,,34.9823018,33.1451285,22.350627,114.1849161
2005,2005.0,Re-Export,Cyprus,Hungary,55.0,Man-made staple fibers,1183.0,,34.9823018,33.1451285,47.1817585,19.5060937
2005,2005.0,Re-Export,Cyprus,Iran,55.0,Man-made staple fibers,173104.0,,34.9823018,33.1451285,32.6475314,54.5643516
2005,2005.0,Re-Export,Cyprus,Israel,55.0,Man-made staple fibers,6536.0,,34.9823018,33.1451285,30.8124247,34.8594762
2005,2005.0,Re-Export,Cyprus,Jordan,55.0,Man-made staple fibers,465242.0,,34.9823018,33.1451285,31.1667049,36.941628
2005,2005.0,Re-Export,Cyprus,Lebanon,55.0,Man-made staple fibers,1968920.0,,34.9823018,33.1451285,33.8750629,35.843409
2005,2005.0,Re-Export,Cyprus,Libya,55.0,Man-made staple fibers,187968.0,,34.9823018,33.1451285,26.8234472,18.1236723
2005,2005.0,Re-Export,Cyprus,"Other Europe, nes",55.0,Man-made staple fibers,132637.0,,34.9823018,33.1451285,,
2005,2005.0,Re-Export,Cyprus,Portugal,55.0,Man-made staple fibers,5054.0,,34.9823018,33.1451285,39.6621648,-8.1353519
2005,2005.0,Re-Export,Cyprus,Romania,55.0,Man-made staple fibers,949246.0,,34.9823018,33.1451285,45.9852129,24.6859225
2005,2005.0,Re-Export,Cyprus,Saudi Arabia,55.0,Man-made staple fibers,7531.0,,34.9823018,33.1451285,25.6242618,42.3528328
2005,2005.0,Re-Export,Cyprus,Senegal,55.0,Man-made staple fibers,4731.0,,34.9823018,33.1451285,14.4750607,-14.4529612
2005,2005.0,Re-Export,Cyprus,Syria,55.0,Man-made staple fibers,386842.0,,34.9823018,33.1451285,34.6401861,39.0494106
2005,2005.0,Re-Export,Cyprus,United Arab Emirates,55.0,Man-made staple fibers,115398.0,,34.9823018,33.1451285,24.0002488,53.9994829
2005,2005.0,Re-Export,Cyprus,Tunisia,55.0,Man-made staple fibers,232130.0,,34.9823018,33.1451285,33.8439408,9.400138
2005,2005.0,Re-Export,Cyprus,Ukraine,55.0,Man-made staple fibers,107061.0,,34.9823018,33.1451285,49.4871968,31.2718321
2005,2005.0,Re-Export,Cyprus,Egypt,55.0,Man-made staple fibers,536036.0,,34.9823018,33.1451285,26.2540493,29.2675469
2005,2005.0,Re-Export,Cyprus,United Kingdom,55.0,Man-made staple fibers,12697.0,,34.9823018,33.1451285,54.7023545,-3.2765753
2005,2005.0,Re-Export,Cyprus,Bunkers,55.0,Man-made staple fibers,14484.0,,34.9823018,33.1451285,42.18544695,-71.13717580263157
