yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2006,2006.0,Export,Georgia,World,88.0,"Aircraft, spacecraft, and parts thereof",49933854.0,,32.3293809,-83.1137366,-36.8535712,174.7456809
2006,2006.0,Export,Georgia,Azerbaijan,88.0,"Aircraft, spacecraft, and parts thereof",71348.0,,32.3293809,-83.1137366,40.3936294,47.7872508
2006,2006.0,Export,Georgia,Canada,88.0,"Aircraft, spacecraft, and parts thereof",44258.0,,32.3293809,-83.1137366,61.0666922,-107.991707
2006,2006.0,Export,Georgia,France,88.0,"Aircraft, spacecraft, and parts thereof",64467.0,,32.3293809,-83.1137366,46.603354,1.8883335
2006,2006.0,Export,Georgia,Germany,88.0,"Aircraft, spacecraft, and parts thereof",2532.0,,32.3293809,-83.1137366,51.1638175,10.4478313
2006,2006.0,Export,Georgia,Kazakhstan,88.0,"Aircraft, spacecraft, and parts thereof",907172.0,,32.3293809,-83.1137366,48.1012954,66.7780818
2006,2006.0,Export,Georgia,Malaysia,88.0,"Aircraft, spacecraft, and parts thereof",17300.0,,32.3293809,-83.1137366,4.5693754,102.2656823
2006,2006.0,Export,Georgia,Netherlands,88.0,"Aircraft, spacecraft, and parts thereof",31161.0,,32.3293809,-83.1137366,52.2434979,5.6343227
2006,2006.0,Export,Georgia,Norway,88.0,"Aircraft, spacecraft, and parts thereof",1462.0,,32.3293809,-83.1137366,60.5000209,9.0999715
2006,2006.0,Export,Georgia,Russian Federation,88.0,"Aircraft, spacecraft, and parts thereof",3300134.0,,32.3293809,-83.1137366,64.6863136,97.7453061
2006,2006.0,Export,Georgia,Turkmenistan,88.0,"Aircraft, spacecraft, and parts thereof",45465144.0,,32.3293809,-83.1137366,39.3763807,59.3924609
2006,2006.0,Export,Georgia,USA,88.0,"Aircraft, spacecraft, and parts thereof",28875.0,,32.3293809,-83.1137366,39.7837304,-100.445882
