yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2007,2007.0,Export,Malta,World,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",234600.0,,35.8885993,14.4476911,-36.8535712,174.7456809
2007,2007.0,Export,Malta,Algeria,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",1498.0,,35.8885993,14.4476911,28.0000272,2.9999825
2007,2007.0,Export,Malta,Cabo Verde,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",1418.0,,35.8885993,14.4476911,16.0000552,-24.0083947
2007,2007.0,Export,Malta,Dem. Rep. of the Congo,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",189.0,,35.8885993,14.4476911,,
2007,2007.0,Export,Malta,Germany,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",1762.0,,35.8885993,14.4476911,51.1638175,10.4478313
2007,2007.0,Export,Malta,Ghana,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",13445.0,,35.8885993,14.4476911,8.0300284,-1.0800271
2007,2007.0,Export,Malta,Iraq,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",18652.0,,35.8885993,14.4476911,33.0955793,44.1749775
2007,2007.0,Export,Malta,Italy,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",1038.0,,35.8885993,14.4476911,42.6384261,12.674297
2007,2007.0,Export,Malta,Libya,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",85945.0,,35.8885993,14.4476911,26.8234472,18.1236723
2007,2007.0,Export,Malta,Nepal,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",2113.0,,35.8885993,14.4476911,28.1083929,84.0917139
2007,2007.0,Export,Malta,Philippines,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",4430.0,,35.8885993,14.4476911,12.7503486,122.7312101
2007,2007.0,Export,Malta,Senegal,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",5497.0,,35.8885993,14.4476911,14.4750607,-14.4529612
2007,2007.0,Export,Malta,Singapore,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",15503.0,,35.8885993,14.4476911,1.357107,103.8194992
2007,2007.0,Export,Malta,Slovenia,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",16281.0,,35.8885993,14.4476911,45.8133113,14.4808369
2007,2007.0,Export,Malta,Somalia,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",22.0,,35.8885993,14.4476911,8.3676771,49.083416
2007,2007.0,Export,Malta,Suriname,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",3076.0,,35.8885993,14.4476911,4.1413025,-56.0771187
2007,2007.0,Export,Malta,Turkey,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",41.0,,35.8885993,14.4476911,38.9597594,34.9249653
2007,2007.0,Export,Malta,United Kingdom,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",60671.0,,35.8885993,14.4476911,54.7023545,-3.2765753
2007,2007.0,Export,Malta,Bunkers,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",3018.0,,35.8885993,14.4476911,42.18544695,-71.13717580263157
