yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2003,2003.0,Export,Qatar,World,94.0,"Furniture, lighting, signs, prefabricated buildings",4367692.0,,25.3336984,51.2295295,-36.8535712,174.7456809
2003,2003.0,Export,Qatar,Australia,94.0,"Furniture, lighting, signs, prefabricated buildings",1017835.0,,25.3336984,51.2295295,-24.7761086,134.755
2003,2003.0,Export,Qatar,Austria,94.0,"Furniture, lighting, signs, prefabricated buildings",19711.0,,25.3336984,51.2295295,47.59397,14.12456
2003,2003.0,Export,Qatar,Bahrain,94.0,"Furniture, lighting, signs, prefabricated buildings",135845.0,,25.3336984,51.2295295,26.1551249,50.5344606
2003,2003.0,Export,Qatar,Cuba,94.0,"Furniture, lighting, signs, prefabricated buildings",120000.0,,25.3336984,51.2295295,23.0131338,-80.8328748
2003,2003.0,Export,Qatar,Germany,94.0,"Furniture, lighting, signs, prefabricated buildings",24021.0,,25.3336984,51.2295295,51.1638175,10.4478313
2003,2003.0,Export,Qatar,Indonesia,94.0,"Furniture, lighting, signs, prefabricated buildings",50.0,,25.3336984,51.2295295,-2.4833826,117.8902853
2003,2003.0,Export,Qatar,Iran,94.0,"Furniture, lighting, signs, prefabricated buildings",11721.0,,25.3336984,51.2295295,32.6475314,54.5643516
2003,2003.0,Export,Qatar,Iraq,94.0,"Furniture, lighting, signs, prefabricated buildings",20968.0,,25.3336984,51.2295295,33.0955793,44.1749775
2003,2003.0,Export,Qatar,Italy,94.0,"Furniture, lighting, signs, prefabricated buildings",3561.0,,25.3336984,51.2295295,42.6384261,12.674297
2003,2003.0,Export,Qatar,Jordan,94.0,"Furniture, lighting, signs, prefabricated buildings",41682.0,,25.3336984,51.2295295,31.1667049,36.941628
2003,2003.0,Export,Qatar,Rep. of Korea,94.0,"Furniture, lighting, signs, prefabricated buildings",6044.0,,25.3336984,51.2295295,,
2003,2003.0,Export,Qatar,Kuwait,94.0,"Furniture, lighting, signs, prefabricated buildings",191584.0,,25.3336984,51.2295295,29.2733964,47.4979476
2003,2003.0,Export,Qatar,Lebanon,94.0,"Furniture, lighting, signs, prefabricated buildings",76630.0,,25.3336984,51.2295295,33.8750629,35.843409
2003,2003.0,Export,Qatar,Morocco,94.0,"Furniture, lighting, signs, prefabricated buildings",13736.0,,25.3336984,51.2295295,31.1728205,-7.3362482
2003,2003.0,Export,Qatar,Nigeria,94.0,"Furniture, lighting, signs, prefabricated buildings",476.0,,25.3336984,51.2295295,9.6000359,7.9999721
2003,2003.0,Export,Qatar,"Other Europe, nes",94.0,"Furniture, lighting, signs, prefabricated buildings",145759.0,,25.3336984,51.2295295,,
2003,2003.0,Export,Qatar,Russian Federation,94.0,"Furniture, lighting, signs, prefabricated buildings",80.0,,25.3336984,51.2295295,64.6863136,97.7453061
2003,2003.0,Export,Qatar,Saudi Arabia,94.0,"Furniture, lighting, signs, prefabricated buildings",253274.0,,25.3336984,51.2295295,25.6242618,42.3528328
2003,2003.0,Export,Qatar,Senegal,94.0,"Furniture, lighting, signs, prefabricated buildings",109.0,,25.3336984,51.2295295,14.4750607,-14.4529612
2003,2003.0,Export,Qatar,Spain,94.0,"Furniture, lighting, signs, prefabricated buildings",19217.0,,25.3336984,51.2295295,39.3260685,-4.8379791
2003,2003.0,Export,Qatar,Switzerland,94.0,"Furniture, lighting, signs, prefabricated buildings",2567.0,,25.3336984,51.2295295,46.7985624,8.2319736
2003,2003.0,Export,Qatar,Syria,94.0,"Furniture, lighting, signs, prefabricated buildings",1955.0,,25.3336984,51.2295295,34.6401861,39.0494106
2003,2003.0,Export,Qatar,United Arab Emirates,94.0,"Furniture, lighting, signs, prefabricated buildings",1358666.0,,25.3336984,51.2295295,24.0002488,53.9994829
2003,2003.0,Export,Qatar,Turkey,94.0,"Furniture, lighting, signs, prefabricated buildings",97045.0,,25.3336984,51.2295295,38.9597594,34.9249653
2003,2003.0,Export,Qatar,United Kingdom,94.0,"Furniture, lighting, signs, prefabricated buildings",81968.0,,25.3336984,51.2295295,54.7023545,-3.2765753
2003,2003.0,Export,Qatar,USA,94.0,"Furniture, lighting, signs, prefabricated buildings",50825.0,,25.3336984,51.2295295,39.7837304,-100.445882
2003,2003.0,Export,Qatar,Yemen,94.0,"Furniture, lighting, signs, prefabricated buildings",672350.0,,25.3336984,51.2295295,16.3471243,47.8915271
