yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue_export,Unnamed: 0_export,rtLat,rtLon,ptLat,ptLon,mid,TradeValue_import,Unnamed: 0_import
2010.0,2010.0,Export,Fmr Sudan,World,1.0,Live animals; animal products,148280228.0,,,,-36.8535712,174.7456809,1.02010.0Fmr Sudan,2655435.0,
2010.0,2010.0,Export,Fmr Sudan,World,2.0,Meat and edible meat offal,29813633.0,,,,-36.8535712,174.7456809,2.02010.0Fmr Sudan,1757775.0,
2010.0,2010.0,Export,Fmr Sudan,World,3.0,"Fish and crustaceans, molluscs and other acquatic invertebrates",32236.0,,,,-36.8535712,174.7456809,3.02010.0Fmr Sudan,1404036.0,
2010.0,2010.0,Export,Fmr Sudan,World,4.0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",67639.0,,,,-36.8535712,174.7456809,4.02010.0Fmr Sudan,129544688.0,
2010.0,2010.0,Export,Fmr Sudan,World,5.0,"Products of animal origin, not elsewhere specified or included",162322.0,,,,-36.8535712,174.7456809,5.02010.0Fmr Sudan,301835.0,
2010.0,2010.0,Export,Fmr Sudan,World,6.0,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",500.0,,,,-36.8535712,174.7456809,6.02010.0Fmr Sudan,3369472.0,
2010.0,2010.0,Export,Fmr Sudan,World,7.0,Edible vegetables and certain roots and tubers,836158.0,,,,-36.8535712,174.7456809,7.02010.0Fmr Sudan,58988757.0,
2010.0,2010.0,Export,Fmr Sudan,World,8.0,Edible fruit and nuts; peel of citrus fruit or melons,1752253.0,,,,-36.8535712,174.7456809,8.02010.0Fmr Sudan,26073670.0,
2010.0,2010.0,Export,Fmr Sudan,World,9.0,"Coffee, tea, maté and spices",126333.0,,,,-36.8535712,174.7456809,9.02010.0Fmr Sudan,108146170.0,
2010.0,2010.0,Export,Fmr Sudan,World,10.0,Cereals,2227695.0,,,,-36.8535712,174.7456809,10.02010.0Fmr Sudan,1422203340.0,
2010.0,2010.0,Export,Fmr Sudan,World,11.0,Products of the milling industry; malt; starches; inulin; wheat gluten,334136.0,,,,-36.8535712,174.7456809,11.02010.0Fmr Sudan,43202160.0,
2010.0,2010.0,Export,Fmr Sudan,World,12.0,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",213425912.0,,,,-36.8535712,174.7456809,12.02010.0Fmr Sudan,22480450.0,
2010.0,2010.0,Export,Fmr Sudan,World,13.0,"Lac; gums, resins and other vegetable saps and extracts",67789185.0,,,,-36.8535712,174.7456809,13.02010.0Fmr Sudan,726276.0,
2010.0,2010.0,Export,Fmr Sudan,World,14.0,Vegetable plaiting materials; vegetable products not elsewhere specified or included,142372.0,,,,-36.8535712,174.7456809,14.02010.0Fmr Sudan,25720.0,
2010.0,2010.0,Export,Fmr Sudan,World,15.0,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,343130.0,,,,-36.8535712,174.7456809,15.02010.0Fmr Sudan,555780236.0,
2010.0,2010.0,Export,Fmr Sudan,World,17.0,Sugars and sugar confectionery,9482129.0,,,,-36.8535712,174.7456809,17.02010.0Fmr Sudan,411984007.0,
2010.0,2010.0,Export,Fmr Sudan,World,18.0,Cocoa and cocoa preparations,21964.0,,,,-36.8535712,174.7456809,18.02010.0Fmr Sudan,3528773.0,
2010.0,2010.0,Export,Fmr Sudan,World,19.0,"Preparations of cereals, flour, starch or milk; pastrycooks' products",100.0,,,,-36.8535712,174.7456809,19.02010.0Fmr Sudan,26432077.0,
2010.0,2010.0,Export,Fmr Sudan,World,21.0,Miscellaneous edible preparations,127861.0,,,,-36.8535712,174.7456809,21.02010.0Fmr Sudan,127616067.0,
2010.0,2010.0,Export,Fmr Sudan,World,22.0,"Beverages, spirits and vinegar",68406.0,,,,-36.8535712,174.7456809,22.02010.0Fmr Sudan,2961996.0,
2010.0,2010.0,Export,Fmr Sudan,World,23.0,Residues and waste from the food industries; prepared animal fodder,313333.0,,,,-36.8535712,174.7456809,23.02010.0Fmr Sudan,17857763.0,
2010.0,2010.0,Export,Fmr Sudan,World,24.0,Tobacco and manufactured tobacco substitutes,5714.0,,,,-36.8535712,174.7456809,24.02010.0Fmr Sudan,45278991.0,
2010.0,2010.0,Export,Fmr Sudan,World,25.0,"Salt; sulphur; earths and stone; plastering materials, lime and cement",35279.0,,,,-36.8535712,174.7456809,25.02010.0Fmr Sudan,78801747.0,
2010.0,2010.0,Export,Fmr Sudan,World,26.0,"Ores, slag and ash",3837445.0,,,,-36.8535712,174.7456809,26.02010.0Fmr Sudan,775333.0,
2010.0,2010.0,Export,Fmr Sudan,World,27.0,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",9784269507.0,,,,-36.8535712,174.7456809,27.02010.0Fmr Sudan,783338925.0,
2010.0,2010.0,Export,Fmr Sudan,World,28.0,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",101.0,,,,-36.8535712,174.7456809,28.02010.0Fmr Sudan,53705065.0,
2010.0,2010.0,Export,Fmr Sudan,World,29.0,Organic chemicals,3543140.0,,,,-36.8535712,174.7456809,29.02010.0Fmr Sudan,73399161.0,
2010.0,2010.0,Export,Fmr Sudan,World,30.0,Pharmaceutical products,6192.0,,,,-36.8535712,174.7456809,30.02010.0Fmr Sudan,349068089.0,
2010.0,2010.0,Export,Fmr Sudan,World,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",57698.0,,,,-36.8535712,174.7456809,33.02010.0Fmr Sudan,60914890.0,
2010.0,2010.0,Export,Fmr Sudan,World,38.0,Miscellaneous chemical products,80468.0,,,,-36.8535712,174.7456809,38.02010.0Fmr Sudan,88897877.0,
