yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue_export,Unnamed: 0_export,rtLat,rtLon,ptLat,ptLon,mid,TradeValue_import,Unnamed: 0_import
2020.0,2020.0,Export,Azerbaijan,World,1.0,Animals; live,151382.0,,40.3936294,47.7872508,-36.8535712,174.7456809,1.02020.0Azerbaijan,68348202.0,
2020.0,2020.0,Export,Azerbaijan,World,2.0,Meat and edible meat offal,116759.0,,40.3936294,47.7872508,-36.8535712,174.7456809,2.02020.0Azerbaijan,78690658.0,
2020.0,2020.0,Export,Azerbaijan,World,3.0,"Fish and crustaceans, molluscs and other aquatic invertebrates",1289258.0,,40.3936294,47.7872508,-36.8535712,174.7456809,3.02020.0Azerbaijan,21145941.0,
2020.0,2020.0,Export,Azerbaijan,World,4.0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",15270023.0,,40.3936294,47.7872508,-36.8535712,174.7456809,4.02020.0Azerbaijan,153326800.0,
2020.0,2020.0,Export,Azerbaijan,World,5.0,Animal originated products; not elsewhere specified or included,2617171.0,,40.3936294,47.7872508,-36.8535712,174.7456809,5.02020.0Azerbaijan,1243416.0,
2020.0,2020.0,Export,Azerbaijan,World,6.0,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",375290.0,,40.3936294,47.7872508,-36.8535712,174.7456809,6.02020.0Azerbaijan,19987362.0,
2020.0,2020.0,Export,Azerbaijan,World,7.0,Vegetables and certain roots and tubers; edible,254392654.0,,40.3936294,47.7872508,-36.8535712,174.7456809,7.02020.0Azerbaijan,79415717.0,
2020.0,2020.0,Export,Azerbaijan,World,9.0,"Coffee, tea, mate and spices",9584094.0,,40.3936294,47.7872508,-36.8535712,174.7456809,9.02020.0Azerbaijan,62983320.0,
2020.0,2020.0,Export,Azerbaijan,World,10.0,Cereals,35356.0,,40.3936294,47.7872508,-36.8535712,174.7456809,10.02020.0Azerbaijan,360503480.0,
2020.0,2020.0,Export,Azerbaijan,World,12.0,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",4617057.0,,40.3936294,47.7872508,-36.8535712,174.7456809,12.02020.0Azerbaijan,43334594.0,
